Pays;Facteur d'émission de l'électricité du réseau (kgCOe/kWh);Source;;;;;;;;
Monténégro;0,3506849;Ember Climate, 2021;;;;;;;;
Mozambique;0,12977527;Ember Climate, 2020;;;;;;;;
Namibie;0,056603775;Ember Climate, 2020;;;;;;;;
Népal;0,022653723;Ember Climate, 2020;;;;;;;;
Nicaragua;0,34334766;Ember Climate, 2020;;;;;;;;
Nigéria;0,3952415;Ember Climate, 2020;;;;;;;;
Norvège;0,025080723;Ember Climate, 2021;;;;;;;;
Nouvelle-Zélande;0,13598497;Ember Climate, 2021;;;;;;;;
Oman;0,44053098;Ember Climate, 2020;;;;;;;;
Ouzbékistan;0,42688644;Ember Climate, 2020;;;;;;;;
Pakistan;0,29577448;Ember Climate, 2021;;;;;;;;
Panama;0,18339417;Ember Climate, 2020;;;;;;;;
Pays-Bas;0,3285;EEA, 2020;;;;;;;;
Pérou;0,23397925;Ember Climate, 2021;;;;;;;;
Philippines;0,5443023;Ember Climate, 2021;;;;;;;;
Pologne;0,7098;EEA, 2020;;;;;;;;
Portugal;0,1984;EEA, 2020;;;;;;;;
Qatar;0,44276172;Ember Climate, 2020;;;;;;;;
République démocratique du Congo;0,026002169;Ember Climate, 2020;;;;;;;;
Tchéquie;0,4366;EEA, 2020;;;;;;;;
Roumanie;0,2995;EEA, 2020;;;;;;;;
Royaume-Uni;0,225;EEA, 2019;;;;;;;;
Russie;0,33648325;Ember Climate, 2021;;;;;;;;
Sénégal;0,5344203;Ember Climate, 2021;;;;;;;;
Serbie;0,545552;Ember Climate, 2021;;;;;;;;
Singapour;0,46389664;Ember Climate, 2021;;;;;;;;
Slovaquie;0,1017;EEA, 2020;;;;;;;;
Slovénie;0,2178;EEA, 2020;;;;;;;;
Soudan;0,25931232;Ember Climate, 2020;;;;;;;;
Sri Lanka;0,43922418;Ember Climate, 2020;;;;;;;;
Suède;0,0088;EEA, 2020;;;;;;;;
Suisse;0,0273;EEA, 2019;;;;;;;;
Syrie;0,5452245;Ember Climate, 2020;;;;;;;;
Tadjikistan;0,08328969;Ember Climate, 2021;;;;;;;;
Taiwan;0,5674732;Ember Climate, 2021;;;;;;;;
